category,n_classes,mean_map50_95,mean_map50,mean_recall,mean_precision
Đèn tín hiệu,2,0.5409525,0.8877645000000001,0.838332,0.924593
Biển báo,13,0.8536946153846153,0.9829548461538462,0.9683669999999999,0.9657826153846153
